"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"5689";"«Метро Алтуфьево», улица Лескова (от центра) (2)";"37.5887380282466";"55.8979868881043";"улица Лескова";"Северо-Восточный административный округ";"район Бибирево";"А705; Тб80; А867; А92; А284; А774; А928";"Метро Алтуфьево";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720466";"{type=Point, coordinates=[37.5887380282466, 55.8979868881043]}";
"5514";"«23-й кв. Новых Черемушек (пос.)», Новочерёмушкинская улица (от центра) (1)";"37.5647864744258";"55.6689055304739";"Новочерёмушкинская улица";"Юго-Западный административный округ";"район Черёмушки";"А246; А121; А103";"23-й кв. Новых Черемушек (пос.)";"от центра";"нет";"";"активна";"1720467";"{type=Point, coordinates=[37.564786504625, 55.668905161673]}";
"5517";"«Метро Новые Черемушки», улица Гарибальди (в центр) (1)";"37.5535920940301";"55.671189461885";"улица Гарибальди";"Юго-Западный административный округ";"район Черёмушки";"А113; А721; А1; А616; А103";"Метро Новые Черемушки";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720468";"{type=Point, coordinates=[37.5535920940301, 55.671189461885]}";
"5518";"«Агентство недвижимости ИНКОМ - Зал Оркестрион», улица Гарибальди (в центр)";"37.550556413121";"55.6720296579709";"улица Гарибальди";"Юго-Западный административный округ";"район Черёмушки";"А113; А721; А1; А616; А103";"Агентство недвижимости ИНКОМ - Зал Оркестрион";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720469";"{type=Point, coordinates=[37.550556413121, 55.6720296579709]}";
"5519";"«Ул. Архитектора Власова, 25», улица Архитектора Власова (в центр)";"37.5480653550572";"55.6749825527273";"улица Архитектора Власова";"Юго-Западный административный округ";"район Черёмушки";"А103";"Ул. Архитектора Власова, 25";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720470";"{type=Point, coordinates=[37.548065385373, 55.674982183961]}";
"5520";"«Ул. Архитектора Власова, 7», улица Архитектора Власова (в центр)";"37.5531172264872";"55.6796645254917";"улица Архитектора Власова";"Юго-Западный административный округ";"район Черёмушки";"А103";"Ул. Архитектора Власова, 7";"в центр";"нет";"";"активна";"1720471";"{type=Point, coordinates=[37.553117257166, 55.679664156804]}";
"5521";"«Ул. Архитектора Власова, 7», улица Архитектора Власова (от центра)";"37.5527606387194";"55.6796243907769";"улица Архитектора Власова";"Юго-Западный административный округ";"Ломоносовский район";"А103";"Ул. Архитектора Власова, 7";"от центра";"нет";"";"активна";"1720472";"{type=Point, coordinates=[37.552760669121, 55.679624022214]}";
"5522";"«Ул. Архитектора Власова, 25», улица Архитектора Власова (от центра)";"37.5477505943053";"55.6749454771907";"улица Архитектора Власова";"Юго-Западный административный округ";"Ломоносовский район";"А103";"Ул. Архитектора Власова, 25";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720473";"{type=Point, coordinates=[37.547750624684, 55.674945108173]}";
"5523";"«Агентство недвижимости ИНКОМ - Зал Оркестрион», улица Гарибальди (от центра) (1)";"37.5483393283017";"55.6719784858061";"улица Гарибальди";"Юго-Западный административный округ";"Обручевский район";"А113; А721; А1; А616; А103";"Агентство недвижимости ИНКОМ - Зал Оркестрион";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720474";"{type=Point, coordinates=[37.5483393283017, 55.6719784858061]}";
"5619";"«АЗЛК и ВНИПП», 2-я улица Машиностроения (в центр) (1)";"37.689262493259";"55.7177631998376";"2-я улица Машиностроения";"Юго-Восточный административный округ";"Южнопортовый район";"А633; Тб38; А159";"АЗЛК и ВНИПП";"в центр";"нет";"";"активна";"1720475";"{type=Point, coordinates=[37.689262493259, 55.7177631998376]}";
